id,null,statistic,B,C,N,q,S,bins,BC,BS,work,trace_peak_B,rss_delta_B,wall_s,status
cp_b100_c4_n256,circular_shift_v2,lagged_pearson_v1,100,4,256,,1,,400,100,128100,3965383,10993664,0.5206156670028577,complete
cp_b300_c4_n256,circular_shift_v2,lagged_pearson_v1,300,4,256,,1,,1200,300,384300,7725553,21954560,1.4748891670024022,complete
cp_b1000_c4_n256,circular_shift_v2,lagged_pearson_v1,1000,4,256,,1,,4000,1000,1281000,20463292,62324736,4.912300832991605,complete
cp_b300_c16_n256,circular_shift_v2,lagged_pearson_v1,300,16,256,,1,,4800,300,1305900,17763044,54738944,2.6417049579904415,complete
cp_b300_c4_n1024,circular_shift_v2,lagged_pearson_v1,300,4,1024,,1,,1200,300,1536300,7817558,21872640,2.2501685000024736,complete
bp_b100_c4_n256_q8,block_shuffle_v2,lagged_pearson_v1,100,4,256,8,8,,400,800,128800,4218761,11796480,0.5607678340020357,complete
bp_b100_c4_n256_q64,block_shuffle_v2,lagged_pearson_v1,100,4,256,64,64,,400,6400,134400,5481854,17825792,0.6339402909943601,complete
bp_b100_c4_n256_q256,block_shuffle_v2,lagged_pearson_v1,100,4,256,256,256,,400,25600,153600,11205501,32571392,0.8936700000049314,complete
cn_b100_c4_n256,circular_shift_v2,equal_width_binned_nette_v1,100,4,256,,1,3,400,100,128100,3996750,11599872,1.010207207989879,complete
bn_b100_c4_n256_q64,block_shuffle_v2,equal_width_binned_nette_v1,100,4,256,64,64,3,400,6400,134400,5508702,18432000,1.1423328749951907,complete
cp_B100_C32_N256,circular_shift_v2,lagged_pearson_v1,100,32,256,,1,,3200,100,844900,11633789,35536896,1.3969875000038883,complete
cp_B100_C4_N4096,circular_shift_v2,lagged_pearson_v1,100,4,4096,,1,,400,100,2048100,4511291,12648448,1.6334817919996567,complete
bp_B300_C4_N256_q256,block_shuffle_v2,lagged_pearson_v1,300,4,256,256,256,,1200,76800,460800,30419073,98041856,2.542949458991643,complete
bp_B50_C4_N1024_q1024,block_shuffle_v2,lagged_pearson_v1,50,4,1024,1024,1024,,200,51200,307200,19221725,59146240,1.7022628749982687,complete
bp_B20_C4_N4096_q4096,block_shuffle_v2,lagged_pearson_v1,20,4,4096,4096,4096,,80,81920,491520,29469678,96878592,2.681326874997467,complete
cn_B300_C4_N256,circular_shift_v2,equal_width_binned_nette_v1,300,4,256,,1,3,1200,300,384300,7768133,22609920,2.949453833993175,complete
cn_B100_C16_N256,circular_shift_v2,equal_width_binned_nette_v1,100,16,256,,1,3,1600,100,435300,7348050,21856256,2.767289666997385,complete
cn_B50_C4_N1024,circular_shift_v2,equal_width_binned_nette_v1,50,4,1024,,1,3,200,50,256050,2907738,8978432,0.8193418750015553,complete
bn_B50_C4_N256_q256,block_shuffle_v2,equal_width_binned_nette_v1,50,4,256,256,256,3,200,12800,76800,6362528,20709376,0.7350239160005003,complete
cn_B20_C4_N256_bins32,circular_shift_v2,equal_width_binned_nette_v1,20,4,256,,1,32,80,20,25620,2054427,6733824,0.2572248749929713,complete
cn_B20_C4_N256_bins256,circular_shift_v2,equal_width_binned_nette_v1,20,4,256,,1,256,80,20,25620,2062685,6602752,0.25462687500112224,complete
cp_B1000_C1_N256,circular_shift_v2,lagged_pearson_v1,1000,1,256,,1,,1000,1000,513000,12123331,36519936,3.856851624994306,complete
cp_B100_C50_N128,circular_shift_v2,lagged_pearson_v1,100,50,128,,1,,5000,100,652900,16702984,52953088,1.896222833005595,complete
cn_B100_C32_N448,circular_shift_v2,equal_width_binned_nette_v1,100,32,448,,1,3,3200,100,1478500,11701871,35962880,5.664413500009687,complete
bp_combined,block_shuffle_v2,lagged_pearson_v1,96,50,256,256,256,,4800,24576,1277952,23438210,67485696,2.234722791996319,complete
bn_combined,block_shuffle_v2,equal_width_binned_nette_v1,96,50,256,256,256,3,4800,24576,1277952,23491381,66732032,7.797584833999281,complete
bp_B6_q4096,block_shuffle_v2,lagged_pearson_v1,6,4,4096,4096,4096,,24,24576,147456,10393339,31047680,0.8472302910086,complete
cn_B300_C4_N1024,circular_shift_v2,equal_width_binned_nette_v1,300,4,1024,,1,3,1200,300,1536300,7859108,22069248,4.339503541006707,complete
cn_B500_C3_N1024,circular_shift_v2,equal_width_binned_nette_v1,500,3,1024,,1,3,1500,500,2048500,9976454,32948224,6.158156290999614,complete
cn_B500_C5_N1024,circular_shift_v2,equal_width_binned_nette_v1,500,5,1024,,1,3,2500,500,3072500,12937934,38977536,8.288561624998692,complete
cp_B500_C5_N1024,circular_shift_v2,lagged_pearson_v1,500,5,1024,,1,,2500,500,3072500,12891688,36454400,3.5897682089998852,complete
bn_joint_corner,block_shuffle_v2,equal_width_binned_nette_v1,100,50,500,250,250,3,5000,25000,2575000,24234839,68468736,9.684666124987416,complete
