x,y
27.73,70.0
27.3,133.0
27.16,145.0
27.32,105.0
27.41,116.0
27.69,83.0
27.74,63.0
27.24,44.0
26.88,23.0
27.1,10.0
27.5,7.0
27.46,40.0
27.37,143.0
26.71,145.0
26.14,94.0
25.61,64.0
25.32,29.0
25.17,29.0
25.01,29.0
24.86,30.0
25.08,36.0
26.07,9.0
26.83,15.0
27.09,15.0
27.04,34.0
26.99,80.0
26.72,75.0
26.47,64.0
26.37,63.0
26.25,81.0
25.74,231.0
25.66,208.0
25.96,146.0
26.59,60.0
27.47,73.0
27.99,86.0
28.04,183.0
27.78,196.0
27.42,191.0
27.4,116.0
27.6,88.0
28.16,47.0
28.34,31.0
28.07,88.0
28.01,111.0
28.18,127.0
28.2,94.0
27.71,411.0
27.04,678.0
26.22,434.0
25.47,227.0
25.12,111.0
25.03,120.0
25.06,104.0
25.0,92.0
25.0,68.0
25.64,41.0
26.36,54.0
27.05,53.0
27.41,84.0
27.35,168.0
26.87,129.0
26.21,146.0
25.92,115.0
25.67,188.0
25.52,116.0
25.54,142.0
25.67,187.0
26.08,170.0
26.67,131.0
27.32,71.0
27.61,162.0
27.75,602.0
27.54,705.0
27.32,529.0
27.1,336.0
26.98,414.0
26.86,348.0
26.34,401.0
26.01,344.0
26.24,170.0
27.03,186.0
27.57,451.0
27.53,1035.0
27.3,2161.0
26.91,1864.0
26.47,790.0
26.54,345.0
26.52,248.0
26.56,145.0
26.43,199.0
26.05,103.0
26.14,72.0
27.0,68.0
27.9,65.0
28.25,131.0
27.96,352.0
27.23,404.0
26.82,358.0
27.01,240.0
27.16,304.0
27.46,233.0
27.31,218.0
27.05,130.0
27.17,75.0
27.75,99.0
28.52,63.0
28.85,255.0
28.9,922.0
28.75,844.0
28.79,514.0
28.93,294.0
29.08,285.0
29.42,293.0
29.26,340.0
29.11,241.0
29.01,318.0
28.9,200.0
28.72,222.0
28.23,639.0
27.69,1290.0
26.82,1264.0
26.28,1210.0
26.14,646.0
25.98,468.0
25.94,341.0
26.1,379.0
