x,y
-0.394964,2.271184
-0.870476,-1.535803
-0.070941,-0.843045
-0.593897,-0.788323
-2.872403,0.711897
-1.099277,1.040102
-0.985357,-1.515651
-0.018937,-1.628837
-0.582835,-0.324776
-0.232414,2.359390
1.374948,0.313591
0.371223,-0.067115
-0.985510,0.019911
0.362560,-0.579061
-0.599412,1.378572
-0.988535,-0.230545
-0.531850,-0.706554
-0.772141,-0.310997
-0.769172,0.296740
-0.612775,0.360103
0.237901,-0.818927
0.086248,0.588922
1.671177,-0.379644
-2.729619,-0.092172
1.949408,0.744825
-1.308644,-3.250329
-2.282623,1.584143
-0.869626,0.086850
-0.880827,-0.861940
0.974838,1.801810
-0.860689,-2.125387
-2.054262,-0.229901
0.173070,-0.521599
-0.043223,-0.811515
-0.698904,-0.234510
0.264062,0.866063
-1.454554,-0.284312
0.021036,-0.826040
0.218218,-0.332138
-0.061169,-0.419618
-0.836887,-0.439163
0.115355,-0.328061
0.381473,-1.314282
0.758703,0.861444
-1.197749,1.335018
-0.468403,-0.525275
0.761285,-0.559744
0.511473,0.814337
1.013155,1.052763
-0.988799,1.026987
1.651600,-1.323419
1.041735,-0.304631
0.349946,0.410658
-1.603140,-0.238543
-0.132160,-0.234395
-1.128503,-1.361868
0.290237,-0.675514
0.219923,-1.003746
1.011040,0.259632
-1.293638,0.935704
0.706830,1.438525
0.366005,0.006420
-0.116786,0.500926
1.233583,-1.248506
1.301628,0.546344
0.149538,0.595619
-0.133138,0.388837
0.187181,-0.886993
1.633924,-0.256267
1.114943,-0.335846
0.661499,0.025893
0.810945,0.101744
-0.503915,0.640405
-0.739923,0.512272
2.110253,-0.585251
-0.502395,-0.592253
-0.536526,1.516710
0.128250,-0.550494
-1.768693,1.251744
0.406896,-0.542512
0.456456,-1.615559
-0.679906,0.641663
1.177390,-0.085200
0.368668,0.000002
-0.492717,-0.811555
0.281112,-1.115919
0.201479,0.720052
-0.405589,0.975897
2.255564,0.442831
-0.378545,-0.391141
-0.607838,2.476445
1.065525,0.377826
-0.596720,0.919810
1.239804,2.948960
0.416826,-1.715279
0.911644,-0.187417
-1.032131,0.624238
-1.092540,0.636004
1.081911,-1.612561
-2.494108,-0.611998
